"Area","Unit Name","Run Status Value","Sample Time"
"Cidade Ouro Preto","MCA ROV - SJB00748","0 RPM","11/28/2025 08:35:00 AM"
"Cidade Ouro Preto","MCP CN - SDN00345","0 RPM","11/28/2025 08:35:00 AM"
"Humaita","DG1 - DSE05350","1800 RPM","11/28/2025 08:35:00 AM"
"Humaita","DG4 - DSE05353","1804 RPM","11/28/2025 08:33:41 AM"
"Humaita","DG2 - DSE05351","1798 RPM","11/28/2025 08:31:29 AM"
"Amaralina","DG1 - DSE05355","1802 RPM","11/28/2025 01:50:57 AM"
"Amaralina","DG3 - DSE05359","0 RPM","11/28/2025 01:20:00 AM"
"Humaita","DG3 - DSE05354","0 RPM","11/24/2025 08:40:00 PM"
"Cidade Ouro Preto","MCA BB - C9Z00778",,"11/18/2025 04:30:00 PM"
"Cidade Ouro Preto","MCP BE - SDN00347","0 RPM","11/18/2025 11:40:00 AM"
"Cidade Ouro Preto","MCA BE - C9Z00777","0 RPM","07/29/2025 09:30:00 AM"
"Cidade Ouro Preto","MCA CN - C9Z00786","0 RPM","07/29/2025 09:00:00 AM"
"Cidade Ouro Preto","MCP BB - SDN00349","0 RPM","07/29/2025 08:14:06 AM"
"Amaralina","DG2 - DSE05352","1807 RPM","06/26/2025 05:50:00 PM"
"Amaralina","DG4 - DSE05357","1801 RPM","06/14/2025 04:19:33 AM"
