"Area","Unit Name","Run Status Value","Sample Time"
"Bravante I","DG2 - JTS00485","1797 RPM","11/28/2025 08:35:00 AM"
"Bravante I","DG4 - JTS00446","1800 RPM","11/28/2025 08:35:00 AM"
"Mar Limpo IV","DG3 - SLM00397","0 RPM","11/28/2025 08:35:00 AM"
"Bravante I","DG3 - JTS00483","1795 RPM","11/28/2025 08:30:00 AM"
"Mar Limpo IV","DG1 - SLM00385",,"11/28/2025 08:25:00 AM"
"Mar Limpo II","DG3 - SLM00475","1800 RPM","11/28/2025 08:20:00 AM"
"Mar Limpo II","DG2 - SLM00476",,"11/28/2025 08:15:00 AM"
"Mar Limpo IV","DG2 - SLM00395","1794 RPM","11/28/2025 07:50:00 AM"
"Mar Limpo III","DG1 - SLM00299","1796 RPM","11/18/2025 01:00:00 PM"
"Mar Limpo III","DG3 - SLM00300","0 RPM","11/18/2025 12:10:00 PM"
"Mar Limpo VII","DG#3 - SLM00484",,"10/07/2025 01:25:00 PM"
"Bravante I","DG1 - JTS00444","0 RPM","08/19/2025 12:55:00 PM"
"Bravante II","DG4 - JTS00455","0 RPM","07/29/2025 10:30:00 AM"
"Bravante II","DG3 - JTS00456","0 RPM","07/29/2025 10:30:00 AM"
"Bravante II","DG2 - JTS00453","1799 RPM","07/29/2025 10:30:00 AM"
"Bravante II","DG1 - JTS00454","0 RPM","07/19/2025 06:00:00 PM"
"Mar Limpo VII","DG#1 - SLM00483","0 RPM","03/02/2025 06:25:00 PM"
"Mar Limpo VI","DG1 - SLM00477",,"10/27/2024 08:45:00 AM"
"Mar Limpo V","DG3 - SLM00396","1799 RPM","07/23/2024 08:38:57 AM"
"Mar Limpo V","DG1 - SLM00384","0 RPM","07/04/2024 08:45:00 AM"
"Mar Limpo VII","DG#2 - SLM00482","0 RPM","10/28/2022 09:29:40 AM"
