"Area","Unit Name","Run Status Value","Sample Time"
"Aimore","Starboard - PXH00420","0 RPM","11/28/2025 10:25:00 AM"
"Alpha","Port - PXJ00653","0 RPM","11/28/2025 10:20:00 AM"
"Alpha","Starboard - PXJ00652","0 RPM","11/28/2025 10:20:00 AM"
"Izar","Starboard - PXJ00607","0 RPM","11/28/2025 10:20:00 AM"
"Izar","Port - PXJ00606","0 RPM","11/28/2025 10:20:00 AM"
"Cetus","Starboard - S2X01417","0 RPM","11/28/2025 10:20:00 AM"
"Cetus","Port - S2X01410","0 RPM","11/28/2025 10:20:00 AM"
"Mira","Port - PXJ00612","0 RPM","11/28/2025 10:20:00 AM"
"Antares","Port - S2X01408","636 RPM","11/28/2025 10:20:00 AM"
"Antares","Starboard - S2X01409","659 RPM","11/28/2025 10:20:00 AM"
"Alya","Port - PXJ00595","0 RPM","11/28/2025 10:20:00 AM"
"Alya","Starboard - PXJ00597","0 RPM","11/28/2025 10:20:00 AM"
"Helio Ferraz I","Port - PAG00406","650 RPM","11/28/2025 10:20:00 AM"
"Helio Ferraz I","Starboard - PAG00403","651 RPM","11/28/2025 10:20:00 AM"
"Brucutu","Starboard - S2S00467","0 RPM","11/28/2025 10:20:00 AM"
"Brucutu","Port - S2S00466","0 RPM","11/28/2025 10:20:00 AM"
"Itabira ","Starboard - S2S00464","0 RPM","11/28/2025 10:20:00 AM"
"Itabira ","Port - S2S00465","0 RPM","11/28/2025 10:20:00 AM"
"Tupi","Starboard - S2J00371","643 RPM","11/28/2025 10:20:00 AM"
"Tupi","Port - S2J00370","646 RPM","11/28/2025 10:20:00 AM"
"Panara","Port - TTF00471","0 RPM","11/28/2025 10:20:00 AM"
"Panara","Starboard - TTF00468","0 RPM","11/28/2025 10:20:00 AM"
"Potiguar","Starboard - TTF00473",,"11/28/2025 10:20:00 AM"
"Potiguar","Port - TTF00470",,"11/28/2025 10:20:00 AM"
"Parintins","Port - TTF00531","0 RPM","11/28/2025 10:20:00 AM"
"Tucano","Starboard - S2J00485","0 RPM","11/28/2025 10:20:00 AM"
"Tucano","Port - S2J00473","0 RPM","11/28/2025 10:20:00 AM"
"Caraja","Port - S2X01200","0 RPM","11/28/2025 10:20:00 AM"
"Caraja","Starboard - S2X01184","0 RPM","11/28/2025 10:20:00 AM"
"Tapeba","Starboard - S2J00493","0 RPM","11/28/2025 10:20:00 AM"
"Tapeba","Port - S2J00479","0 RPM","11/28/2025 10:20:00 AM"
"Tariana","Starboard - S2J00525","0 RPM","11/28/2025 10:20:00 AM"
"Tariana","Port - S2J00519","0 RPM","11/28/2025 10:20:00 AM"
"Tupinamba","Port - S2J00555","0 RPM","11/28/2025 10:20:00 AM"
"Pataxo","Starboard - TTF00472","650 RPM","11/28/2025 10:20:00 AM"
"Pataxo","Port - TTF00469","649 RPM","11/28/2025 10:20:00 AM"
"Pareci","Port - TTF00465","901 RPM","11/28/2025 10:20:00 AM"
"Pareci","Starboard - TTF00464","861 RPM","11/28/2025 10:20:00 AM"
"Charrua","Starboard - S2X00877",,"11/28/2025 10:20:00 AM"
"Charrua","Port - S2X00914",,"11/28/2025 10:20:00 AM"
"Caninde","Port - S2X00826",,"11/28/2025 10:20:00 AM"
"Caninde","Starboard - S2X00827",,"11/28/2025 10:20:00 AM"
"Renaud","Starboard - S2X00855","0 RPM","11/28/2025 10:20:00 AM"
"Renaud","Port - S2X00828","0 RPM","11/28/2025 10:20:00 AM"
"Bernard","Port - S2X01374",,"11/28/2025 10:20:00 AM"
"Bernard","Starboard - S2X01377","649 RPM","11/28/2025 10:20:00 AM"
"Crao","Starboard - S2X00684",,"11/28/2025 10:20:00 AM"
"Crao","Port - S2X00681",,"11/28/2025 10:20:00 AM"
"Godofredo","Starboard - S2X00604",,"11/28/2025 10:20:00 AM"
"Tupari","Starboard - S2J00513",,"11/28/2025 10:20:00 AM"
"Tupari","Port - S2J00502",,"11/28/2025 10:20:00 AM"
"Tuxa","Starboard - S2J00395","650 RPM","11/28/2025 10:20:00 AM"
"Tuxa","Port - S2J00389","651 RPM","11/28/2025 10:20:00 AM"
"Tora","Starboard - S2J00387","656 RPM","11/28/2025 10:20:00 AM"
"Tora","Port - S2J00386","641 RPM","11/28/2025 10:20:00 AM"
"Paiter","Starboard - TTF00529","0 RPM","11/28/2025 10:20:00 AM"
"Terena","Starboard - S2J00482",,"11/28/2025 10:20:00 AM"
"Terena","Port - S2J00472",,"11/28/2025 10:20:00 AM"
"Chile","Starboard - TTH00839","884 RPM","11/28/2025 10:20:00 AM"
"Chile","Port - TTH00837","900 RPM","11/28/2025 10:20:00 AM"
"Holanda","Starboard - TTH00831","823 RPM","11/28/2025 10:20:00 AM"
"Holanda","Port - TTH00840","840 RPM","11/28/2025 10:20:00 AM"
"Aimore","Port - PXH00419","0 RPM","11/28/2025 10:20:00 AM"
"Arua","Starboard - PXH00418",,"11/28/2025 10:20:00 AM"
"Arua","Port - PXH00417",,"11/28/2025 10:20:00 AM"
"Arcimbaldo","Starboard - S2X00811","0 RPM","11/28/2025 10:20:00 AM"
"Arcimbaldo","Port - S2X00790","0 RPM","11/28/2025 10:20:00 AM"
"Arana","Port - PXH00518","774 RPM","11/28/2025 10:20:00 AM"
"Arara","Port - PXH00516","0 RPM","11/28/2025 10:20:00 AM"
"Tamoio","Starboard - S2J00554","0 RPM","11/28/2025 10:15:00 AM"
"Tamoio","Port - S2J00552","0 RPM","11/28/2025 10:15:00 AM"
"Electra","Starboard - PXJ00625","0 RPM","11/28/2025 09:35:00 AM"
"Tapajo","Starboard - S2J00491","721 RPM","11/28/2025 09:10:00 AM"
"Tapajo","Port - S2J00458","908 RPM","11/28/2025 09:10:00 AM"
"Caripuna","Port - S2X01122","600 RPM","11/28/2025 09:10:00 AM"
"Caripuna","Starboard - S2X01127","600 RPM","11/28/2025 09:10:00 AM"
"Canis","Port - PXJ00588","0 RPM","11/28/2025 08:55:00 AM"
"Canis","Starboard - PXJ00589","0 RPM","11/28/2025 08:55:00 AM"
"Mira","Starboard - PXJ00613","0 RPM","11/28/2025 01:15:00 AM"
"Tiaki","Port - PXJ00631","649 RPM","11/27/2025 06:35:00 PM"
"Tiaki","Starboard - PXJ00630","877 RPM","11/27/2025 06:35:00 PM"
"Ticuna","Port - S2J00457","0 RPM","11/26/2025 03:40:00 PM"
"Ticuna","Starboard - S2J00438","0 RPM","11/26/2025 03:40:00 PM"
"Caiapo","Port - S2X00830","650 RPM","11/25/2025 11:50:00 AM"
"Timbopeba","Starboard - PAG00409","0 RPM","11/25/2025 09:00:00 AM"
"Timbopeba","Port - PAG00410","0 RPM","11/24/2025 06:13:12 PM"
"Caiapo","Starboard - S2X00832",,"11/21/2025 12:50:00 PM"
"Tupinamba","Starboard - S2J00556","0 RPM","11/21/2025 12:35:00 PM"
"Paiter","Port - TTF00530","0 RPM","11/21/2025 12:15:00 PM"
"Arana","Starboard - PXH00517","Standby","11/18/2025 05:08:04 AM"
"Electra","Port - PXJ00624","0 RPM","11/07/2025 03:45:00 PM"
"Crux","Starboard - PXJ00640","0 RPM","10/23/2025 12:10:00 PM"
"Crux","Port - PXJ00643","0 RPM","10/23/2025 12:05:00 PM"
"Godofredo","Port - S2X00602",,"09/29/2025 11:55:00 AM"
"Parintins","Starboard - TTF00532","0 RPM","08/07/2025 03:35:00 AM"
"Arara","Starboard - PXH00515","0 RPM","06/05/2025 11:55:00 AM"
