"Area","Unit Name","Run Status Value","Sample Time"
"Svitzer Victorio","Ps - S2J00275",,"11/28/2025 08:45:00 AM"
"Svitzer Setimio","Ps - PXH00391","0 RPM","11/28/2025 08:30:00 AM"
"Svitzer Setimio","Stb - PXH00392",,"11/28/2025 08:30:00 AM"
"Svitzer Jamil Darian","Ps - PXH00386","650 RPM","07/10/2025 03:10:00 PM"
"Svitzer Zoe","Ps - PXH00376","0 RPM","03/07/2025 09:25:00 AM"
"Svitzer Sonia","Stb - PXH00400","0 RPM","10/05/2023 10:50:00 AM"
"Svitzer Zoe","Stb - PXH00375","0 RPM","09/05/2023 03:00:00 PM"
"Svitzer Jamil Darian","Stb - PXH00385","0 RPM","09/11/2022 07:45:00 PM"
"Svitzer Sonia","Ps - PXH00399","0 RPM","08/22/2022 11:44:30 PM"
"Svitzer Victorio","Stb - S2J00259","0 RPM","03/31/2022 09:25:00 AM"
