"Area","Unit Name","Run Status Value","Sample Time"
"Mistral","DG3 - S2R00718","0 RPM","11/28/2025 08:35:01 AM"
"Wave","DG3 - S2R00463",,"11/28/2025 08:35:00 AM"
"Wave","DG5 - S2R00492","1808 RPM","11/28/2025 08:35:00 AM"
"Wave","DGE - C9A00340","0 RPM","11/28/2025 08:35:00 AM"
"Mistral","DG4 - S2R00717","1800 RPM","11/28/2025 08:35:00 AM"
"Mistral","DG1 - S2R00715","0 RPM","11/28/2025 08:35:00 AM"
"Mistral","DG2 - S2R00716","0 RPM","11/28/2025 08:35:00 AM"
"Siddis Sailor","DG1 - S2R00228","1802 RPM","11/28/2025 08:35:00 AM"
"Siddis Sailor","DG2 - S2R00232","0 RPM","11/28/2025 08:35:00 AM"
"Siddis Sailor","DG4 - S2R00231","0 RPM","11/28/2025 08:35:00 AM"
"Oceana","DG4 - SLM00573","0 RPM","11/28/2025 08:35:00 AM"
"Oceana","DG3 - SLM00578","0 RPM","11/28/2025 08:35:00 AM"
"Oceana","DG1 - SLM00580","0 RPM","11/28/2025 08:35:00 AM"
"Itajai","DG2 - SLM00589","1798 RPM","11/28/2025 08:35:00 AM"
"Itajai","DG3 - SLM00588","1801 RPM","11/28/2025 08:35:00 AM"
"Wave","DG1 - S2R00459","1807 RPM","11/28/2025 08:30:00 AM"
"Wave","DG2 - S2R00457","1806 RPM","11/28/2025 08:30:00 AM"
"Wave","DG4 - S2R00462",,"11/28/2025 08:30:00 AM"
"Siddis Sailor","DG3 - S2R00240","0 RPM","11/28/2025 08:30:00 AM"
"Alianca","DG1 - RSS00104","1800 RPM","11/28/2025 08:30:00 AM"
"Itajai","DG1 - SLM00591","1801 RPM","11/28/2025 08:30:00 AM"
"Itajai","DG4 - SLM00592","1799 RPM","11/28/2025 08:30:00 AM"
"Alianca","DG4 - RSS00107","1801 RPM","11/28/2025 08:20:00 AM"
"Alianca","DG2 - RSS00105","1800 RPM","11/28/2025 08:20:00 AM"
"Cabralia","CAT - CBO72791",,"11/07/2025 05:55:00 PM"
"Cabralia","CAT - CBO72792",,"11/07/2025 02:55:00 PM"
"Iguacu","CAT - CBO78071","0 ","10/28/2025 02:25:00 PM"
"Alianca","DG3 - RSS00106","0 RPM","09/01/2025 12:40:00 PM"
"Iguacu","CAT - CBO78072",,"08/15/2025 12:25:00 PM"
"Oceana","DG2 - SLM00579","0 RPM","05/13/2025 04:30:00 PM"
"Parintins","CAT - CBO78332","0 ","02/26/2025 01:05:47 PM"
"Parintins","CAT - CBO78331",,"02/26/2025 01:05:00 PM"
"Bossa Nova","CAT - CBO78211","594 ","05/26/2024 08:15:00 AM"
