"Area","Unit Name","Run Status Value","Sample Time"
"Jose Guilherme XII","BE - PXH00686",,"11/28/2025 08:35:00 AM"
"Jose Guilherme XII","BB - PXH00693",,"11/28/2025 08:35:00 AM"
"Jose Guilherme I","BE - PXH00487","0 RPM","11/28/2025 08:35:00 AM"
"Jose Guilherme I","BB - PXH00488","0 RPM","11/28/2025 08:34:16 AM"
"Jose Guilherme XIV","MCP BB  - PXH00687","650 RPM","11/28/2025 08:30:00 AM"
"Jose Guilherme X","BE - PXH00561","0 RPM","11/27/2025 12:40:00 PM"
"Jose Guilherme X","BB - PXH00560","0 RPM","11/27/2025 10:15:00 AM"
"Jose Guilherme IX","BE - PXH00558","0 RPM","11/27/2025 10:10:00 AM"
"Jose Guilherme VIII","MCP BB - S2S00433","0 RPM","11/25/2025 12:25:00 AM"
"Jose Guilherme XIV","MCP BE - PXH00695","0 RPM","11/24/2025 09:25:00 AM"
"Jose Guilherme VII","BB - S2X01363",,"10/02/2025 02:10:00 PM"
"Jose Guilherme VII","BE - S2X01362",,"10/02/2025 02:10:00 PM"
"Jose Guilherme XI","BB - PXH00570","650 RPM","08/22/2025 09:25:00 AM"
"Jose Guilherme XI","BE - PXH00569","Stopped","04/18/2025 12:10:10 PM"
"Jose Guilherme VIII","MCP BE  - S2S00407","0 RPM","03/21/2025 10:35:00 PM"
"Jose Guilherme IX","BB - PXH00559","844 RPM","03/06/2024 01:36:49 PM"
