"Area","Unit Name","Run Status Value","Sample Time"
"HB Enguia","MCA BB - SSW00315","1770 RPM","11/28/2025 08:40:00 AM"
"HB Filhote","MCP BE - SDN00735","600 RPM","11/28/2025 08:40:00 AM"
"HB Filhote","MCP BB - SDN00734","602 RPM","11/28/2025 08:40:00 AM"
"HB Enguia","MCA BE - SSW00314","0 RPM","11/28/2025 08:36:16 AM"
"HB Pirarucu","MCA BB - JHL00519",,"11/28/2025 08:35:43 AM"
"HB Poraque","MCA BB - SSW00312","0 RPM","11/28/2025 08:35:00 AM"
"HB Piramboia","MCP BB - T2R05083","902 RPM","11/28/2025 08:35:00 AM"
"HB Poraque","MCA BE - SSW00313","0 RPM","11/28/2025 08:34:04 AM"
"HB Pirarucu","MCA BE - JHL00526",,"11/28/2025 08:30:00 AM"
"HB Filhote","MCA BE - S1M06218",,"11/17/2025 11:35:00 AM"
"HB Filhote","MCA BB  - S1M06217",,"09/19/2025 07:25:00 PM"
"HB Pirarara","MCA BB - JHL00518","1802 RPM","04/19/2025 07:25:00 AM"
"HB Piramboia","MCP BE - T2R05082","1002 RPM","07/26/2024 04:59:01 PM"
"HB Pirarara","MCA BE – JHL00517","1802 RPM","07/22/2023 09:20:00 AM"
