"Area","Unit Name","Run Status Value","Sample Time"
"Confianca 7","BB - T2P01686","1508 RPM","11/28/2025 08:40:00 AM"
"Confianca 7","BE - T2P01701","1490 RPM","11/28/2025 08:30:00 AM"
"Confianca 12","BE - T2P01685","1545 RPM","11/27/2025 03:50:00 PM"
"Confianca 9","BE - T2P01453","1555 RPM","11/12/2025 05:25:00 PM"
"Confianca 8","BE - T2P01704","1549 RPM","09/06/2025 11:25:00 PM"
"Confianca 8","BB - T2P01717","1636 RPM","09/06/2025 11:25:00 PM"
"Confianca 9","BB - T2P01681",,"06/26/2025 05:55:00 PM"
"Confianca 6","BE - T2P01716","687 RPM","06/26/2025 03:35:00 AM"
"Confianca 6","BB  - T2P01706","586 RPM","06/26/2025 03:35:00 AM"
"Confianca 12","BB - T2P01655","601 RPM","06/23/2025 10:01:51 AM"
"Confianca 10","CN - T2P01684","1473 RPM","06/17/2025 07:07:21 AM"
