"Area","Unit Name","Run Status Value","Sample Time"
"ZAG","MCP BE - T2P00426","900 RPM","11/28/2025 08:40:00 AM"
"Aveiro","MCP BB - S2L00953",,"11/28/2025 08:35:00 AM"
"Aveiro","MCP BE - S2L00954","847 RPM","11/28/2025 07:10:00 AM"
"Ilhavo","MCP BB - S2D00235","479 RPM","11/27/2025 03:35:00 PM"
"Ilhavo","MCP BE - S2D00237","479 RPM","11/27/2025 03:35:00 PM"
"ZAG","MCP BB - T2P00430",,"10/09/2025 01:55:00 AM"
"ZIG","MCP BE - T2P00479","714 RPM","05/25/2025 03:00:00 PM"
"ZIG","MCP BB - T2P00429","757 RPM","05/25/2025 02:55:00 PM"
"Gafanha I","MCP BE - C1J00919","603 RPM","05/25/2024 05:00:00 PM"
"Brazatreco III","CN - C1J00811","1608 RPM","10/14/2022 06:00:00 PM"
"Gafanha I","MCP BB - C1J00918","0 RPM","12/31/1999 09:00:00 PM"
