"Area","Unit Name","Run Status Value","Sample Time"
"Parcel dos Reis","DG4 - S2R00409","1799 RPM","11/28/2025 08:40:00 AM"
"Parcel dos Reis","DG5 - S2R00493",,"11/28/2025 08:40:00 AM"
"Parcel do Bandolim","DG4 - S2R00317","1803 RPM","11/28/2025 08:40:00 AM"
"Parcel do Bandolim","DG3 - S2R00768","1800 RPM","11/28/2025 08:40:00 AM"
"Parcel do Bandolim","DG2  - S2R00211","1803 RPM","11/28/2025 08:40:00 AM"
"Parcel do Bandolim","DG1 - S2R00209","1798 RPM","11/28/2025 08:40:00 AM"
"Martin Vaz","BB - TTG00234",,"11/28/2025 08:40:00 AM"
"Ilha de Tinharé","BB - TTG00239",,"11/28/2025 08:40:00 AM"
"Jim O'Brien","BB - SLM00548","0 RPM","11/28/2025 08:40:00 AM"
"Jim O'Brien","BE - SLM00547","0 RPM","11/28/2025 08:40:00 AM"
"Jim O'Brien","CN - SLM00546","1796 RPM","11/28/2025 08:40:00 AM"
"Martin Vaz","BE - TTG00231",,"11/28/2025 08:39:01 AM"
"Parcel dos Reis","DG3 - S2R00418","0 RPM","11/28/2025 08:35:00 AM"
"Ilha Da Trindade","BB - TTG00235",,"11/28/2025 08:26:55 AM"
"Ilha Da Trindade","BE - TTG00232","1015 RPM","11/28/2025 08:12:45 AM"
"Fernando De Noronha","BE - SLM00576","0 RPM","11/28/2025 08:00:00 AM"
"Fernando De Noronha","BB - SLM00575","1799 RPM","11/28/2025 08:00:00 AM"
"Fernando De Noronha","CN - SLM00574","0 RPM","11/28/2025 08:00:00 AM"
"Parcel do Manuel Luis ","DG4 - S2R00247","1802 RPM","11/28/2025 12:25:00 AM"
"Parcel do Manuel Luis ","DG1 - S2R00243","1801 RPM","11/27/2025 02:40:00 PM"
"Ilha de Tinharé","BE - TTG00240","Stopped","11/26/2025 05:09:51 PM"
"Parcel dos Reis","DG2 - S2R00416","0 RPM","11/24/2025 02:45:00 PM"
"Macae","BB - TTG00233","1801 RPM","11/19/2025 05:30:00 AM"
"Parcel do Manuel Luis ","DG3 - S2R00223",,"07/02/2025 03:00:00 PM"
"Parcel dos Reis","DG1 - S2R00412",,"05/20/2025 03:40:00 PM"
"Macae","BE - TTG00230","1794 RPM","05/06/2025 11:00:00 AM"
"Parcel do Manuel Luis ","DG2 - PAG00133","1800 RPM","01/20/2024 11:15:00 AM"
