"Area","Unit Name","Run Status Value","Sample Time"
"SIEM MARATAIZES","DG#2 - SLM00252","1807 RPM","11/28/2025 08:45:00 AM"
"SIEM MARATAIZES","DG#3 - SLM00255","0 RPM","11/28/2025 08:45:00 AM"
"SIEM MARATAIZES","DG#1 - SLM00251","0 RPM","11/28/2025 08:45:00 AM"
"SIEM MARAGOGI","DG#2 - SLM00245","1802 RPM","11/28/2025 08:45:00 AM"
"SIEM ATLAS","DG1 - SLM00266","1799 RPM","11/28/2025 08:45:00 AM"
"SIEM ATLAS","DG2 - SLM00267","1802 RPM","11/28/2025 08:45:00 AM"
"SIEM MARAGOGI","DG#1 - SLM00244","0 RPM","11/28/2025 08:40:00 AM"
"SIEM MARAGOGI","DG#3 - SLM00246","0 RPM","11/28/2025 08:40:00 AM"
"SIEM GIANT","DG#4 - SLM00351","1801 RPM","11/28/2025 08:40:00 AM"
"SIEM GIANT","DG#3 - SLM00345","1800 RPM","11/28/2025 08:40:00 AM"
"SIEM GIANT","DG#1 - SLM00343","1802 RPM","11/28/2025 08:40:00 AM"
"SIEM GIANT","DG#2 - SLM00344","1802 RPM","11/28/2025 08:40:00 AM"
"SIEM ATLAS","DG3 - SLM00268","1800 RPM","11/28/2025 08:40:00 AM"
"SIEM ATLAS","DG4 - SLM00269","1802 RPM","11/28/2025 08:40:00 AM"
