"Area","Unit Name","Run Status Value","Sample Time"
"Fazendão","MCP-BE - PAG00402",,"11/28/2025 08:30:00 AM"
"Fazendão","MCP BB - PAG00411",,"11/28/2025 08:30:00 AM"
"Fazendão","MCA RÉ - NRP01695",,"11/28/2025 08:30:00 AM"
"Fazendão","MCA VANTE - NRP01700","1801 RPM","11/28/2025 08:30:00 AM"
"RT1504 - Retificadora","CAT - TLD01787","1802 RPM","11/28/2025 08:30:00 AM"
"DL 1355 - Desguarnecedora de Lastro","CAT - TWM05916","1834 RPM","11/28/2025 08:30:00 AM"
"QC-01","M1 - TWM03681","0 RPM","11/28/2025 07:25:00 AM"
"DL 1355 - Desguarnecedora de Lastro","M1 - TWM01585","851 RPM","11/28/2025 01:30:00 AM"
"Guaíba","MCA BB - NRP01696","1796 RPM","11/27/2025 10:30:00 PM"
"Guaíba","MCP BB - S2S00468","1386 RPM","11/27/2025 10:30:00 PM"
"Guaíba","MCP BE - S2S00469","1390 RPM","11/27/2025 10:30:00 PM"
"RT1505 - Esmerilhadora","G2 - TLD01703","442 RPM","11/26/2025 01:27:30 PM"
"RT1505 - Esmerilhadora","G1 - MCW10797","0 RPM","11/26/2025 01:25:00 PM"
"RT1505 - Esmerilhadora","G3 - TLD01706","0 RPM","11/26/2025 11:40:00 AM"
"QC-01","M2 - TWM03691","0 RPM","11/26/2025 10:50:00 AM"
"DL 1356 - Desguarnecedora de Lastro","Motor 2 - MBD09984","2040 RPM","11/25/2025 02:35:00 PM"
"Guaíba","MCA BE - NRP01693","280 RPM","11/25/2025 10:53:18 AM"
"Máquinas de Via - MA","Alto de Serviço AS304  - GLS03760","799 RPM","10/22/2025 03:00:00 PM"
"RT1505 - Esmerilhadora","G4 - TLD01704","0 RPM","08/19/2025 07:55:00 PM"
"DL 1356 - Desguarnecedora de Lastro","Motor 1 - MBD09997",,"06/13/2025 11:35:00 AM"
"DL 1355 - Desguarnecedora de Lastro","GE1 - SM601768","1447 RPM","04/21/2025 12:00:00 PM"
"QC-00","M1 - TWM03584","1800 RPM","12/03/2024 01:05:00 PM"
"QC-00","M2 - TWM03583",,"09/03/2024 10:30:00 AM"
"Máquinas de Via - MA","CAT - TWM05000","0 RPM","12/31/1999 09:00:00 PM"
"Máquinas de Via - MA","CAT - JRE10303","0 RPM","12/31/1999 09:00:00 PM"
"Máquinas de Via - MA","CAT - JRE09295","0 ",
"Máquinas de Via - MA","CAT - WRH03543","0 ",
"Máquinas de Via - MA","CAT - TWM01320","0 ",
